Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
100.0,1772057039.190626,100,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,1772057037.8777292,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057038.1850197,20,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057038.5555418,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057038.9621434,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057039.3708656,50,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057039.904137,75,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057040.5814667,100,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.0,1772057038.0009086,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
92.0,1772057038.2187946,20,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057038.4777572,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057038.7601326,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057039.0676606,50,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057039.4884188,75,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057040.0171034,100,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
74.0,1772057039.4740632,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
88.0,1772057039.742748,20,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
95.0,1772057040.0742936,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
96.0,1772057040.4422894,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
96.0,1772057040.8645759,50,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057041.343457,75,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057041.8726003,100,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
73.0,1772057039.7246528,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
86.0,1772057039.740137,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
92.0,1772057039.7618287,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,1772057039.776813,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057039.787726,50,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057039.8090286,75,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057039.8282864,100,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
70.0,1772057039.9671898,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
81.0,1772057040.090184,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
96.0,1772057040.214035,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
97.0,1772057040.33131,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,1772057040.464294,50,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,1772057040.5915277,75,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,1772057040.7143476,100,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
76.0,1772057041.1845737,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
95.0,1772057041.1952949,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057041.2086816,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057041.2252696,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057041.2408998,50,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057041.2589037,75,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057041.2790146,100,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
70.0,1772057041.8729718,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.0,1772057041.9900415,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
94.0,1772057042.101304,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057042.2057261,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057042.3096752,50,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057042.400383,75,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057042.514508,100,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
56.0,1772057041.8359888,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057041.8513796,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057041.8711472,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057041.8867998,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057041.9000506,50,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057041.913078,75,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057041.927237,100,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
54.0,1772057042.5190372,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
54.0,1772057042.6296687,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
54.0,1772057042.7396684,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
54.0,1772057042.856946,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
54.0,1772057042.976,50,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
54.0,1772057043.1012428,75,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
54.0,1772057043.2199295,100,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
84.0,1772057041.512316,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
89.0,1772057041.5364687,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.0,1772057041.5576458,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,1772057041.5792825,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,1772057041.5999813,50,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
99.0,1772057041.6225233,75,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
99.0,1772057041.6443698,100,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
88.0,1772057041.897867,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
